Product_ID,Product_Category,Product_Subcategory,Base_Price,Cost_Price,Profit_Margin,Seasonal_Flag,Inventory_Level,Reorder_Threshold,Lead_Time,Product_Rating,Review_Count,Return_Rate,Shipping_Weight,Size_Dimensions,Color_Variants,Size_Variants
PROD-0001,Beauty,SubCat-0,$508.44,237.22,0.53,Winter,770,125,37,2.8,9692,0.16,7.79,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0002,,SubCat-1,776.51,360.25,0.54,,719,54,40,4.7,5716,0.23,15.28,,"Red,Blue,Black","S,M,L"
PROD-0003,Beauty,SubCat-2,1338.26,612.45,0.54,,17,68,22,2.7,2934,0.15,10.54,30x40x10,"Red,Blue,Black","S,M,L"
  PROD-0004 ,Home & Living,SubCat-3,940.5,423.58,0.55,Holiday,278,23,40,2.5,12279,0.18,10.58,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0005,Sports,SUBCAT-4,827.92,555.0,0.33,Holiday,1609,97,19,2.4,10379,0.15,4.59,,"Red,Blue,Black","S,M,L"
PROD-0006,Fashion,SubCat-5,685.29,349.56,0.49,Back-to-School,106,31,25,4.0,12165,0.15,16.18,,"Red,Blue,Black","S,M,L"
PROD-0007,Home & Living,SubCat-6,1072.1,466.61,0.56,Winter,1475,191,13,4.0,11488,0.18,34.53,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0008,Beauty,SubCat-7,1078.76,654.91,0.39,,1075,47,29,4.4,456,0.2,33.77,,"Red,Blue,Black","S,M,L"
PROD-0009,Sports,SubCat-8,1151.76,704.81,0.39,Holiday,1041,88,13,1.7,14141,0.13,8.76,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0010,Home & Living,SubCat-9,1464.9,811.35,0.45,,1775,157,8,2.1,11983,0.18,8.96,,"Red,Blue,Black","S,M,L"
PROD-0011,Electronics,SubCat-10,1039.05,555.02,0.47,Holiday,672,169,38,3.4,6333,0.19,28.64,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0012,Beauty,SubCat-11,133.96,77.17,0.42,Summer,899,53,44,1.3,869,0.1,36.18,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0013,Sports,SubCat-12,1295.55,948.35,0.27,Back-to-School,1405,140,14,1.7,7070,0.03,32.81,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0014,Beauty,SubCat-13,722.95,407.06,0.44,Winter,1064,24,16,4.6,3103,0.23,14.59,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0015,Home & Living,SubCat-14,389.22,166.85,0.57,Back-to-School,992,128,7,1.5,12665,0.24,33.05,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0016,Home & Living,SubCat-15,455.01,324.02,0.29,Winter,1848,156,42,2.3,13345,0.24,17.45,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0017,Electronics,SubCat-16,1348.56,990.1,0.27,Winter,866,53,23,1.4,1462,0.03,8.27,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0018,Electronics,SubCat-17,68.18,36.26,0.47,Holiday,1937,183,27,4.0,914,0.05,9.08,10x20x5,"Red,Blue,Black","S,M,L"
